,data_station,real_station,location,real_line
0,VICTORIA PARK STATION,victoria park,Station,BD
1,HIGH PARK STATION,high park,Station,BD
2,SHEPPARD STATION,sheppard,Station,
3,LANSDOWNE STATION,lansdowne,Station,BD
4,BLOOR STATION,bloor,Station,
5,DUFFERIN STATION,dufferin,Station,BD
6,NORTH YORK CTR STATION,north york centre,Station,YU
7,QUEEN STATION,queen,Station,YU
8,RUNNYMEDE STATION,runnymede,Station,BD
9,ST ANDREW STATION,st andrew,Station,YU
10,WELLESLEY STATION,wellesley,Station,YU
11,KIPLING STATION,kipling,Station,BD
12,YONGE SHP STATION,,Station,
13,ST PATRICK STATION,st patrick,Station,YU
14,KENNEDY BD STATION,kennedy,Station,SRT
15,JANE STATION,jane,Station,BD
16,OLD MILL STATION,old mill,Station,BD
17,WILSON CARHOUSE,wilson,Misc,YU
18,SHEPPARD WEST STATION,sheppard west,Station,YU
19,BAY STATION,bay,Station,BD
20,FINCH STATION,finch,Station,YU
21,COXWELL STATION,coxwell,Station,BD
22,ST CLAIR WEST STATION,st clair west,Station,YU
23,DUPONT STATION,dupont,Station,YU
24,YORK MILLS STATION,york mills,Station,YU
25,DUNDAS WEST STATION,dundas west,Station,BD
26,OSGOODE STATION,osgoode,Station,YU
27,COLLEGE STATION,college,Station,YU
28,YONGE BD STATION,,Station,
29,ST GEORGE YUS STATION,st george,Station,
30,MCCOWAN STATION,mccowan,Station,SRT
31,BROADVIEW STATION,broadview,Station,BD
32,EGLINTON STATION,eglinton,Station,YU
33,ROSEDALE STATION,rosedale,Station,YU
34,PAPE STATION,pape,Station,BD
35,GREENWOOD STATION,greenwood,Station,BD
36,LAWRENCE EAST STATION,lawrence east,Station,SRT
37,KENNEDY SRT STATION,kennedy,Station,SRT
38,ISLINGTON STATION,islington,Station,BD
39,WARDEN STATION,warden,Station,BD
40,DAVISVILLE STATION,davisville,Station,YU
41,LAWRENCE STATION,lawrence,Station,YU
42,EGLINTON WEST STATION,eglinton west,Station,YU
43,KEELE STATION,keele,Station,BD
44,MIDLAND STATION,midland,Station,SRT
45,YONGE UNIVERSITY LINE,,Misc,
46,ELLESMERE STATION,ellesmere,Station,SRT
47,UNION STATION,union,Station,YU
48,CHESTER STATION,chester,Station,BD
49,GLENCAIRN STATION,glencairn,Station,YU
50,WILSON STATION,wilson,Station,YU
51,YORKDALE STATION,yorkdale,Station,YU
52,MUSEUM STATION,museum,Station,YU
53,DAVISVILLE HOSTLER,davisville,Misc,YU
54,LESLIE STATION,leslie,Station,SHP
55,DUNDAS STATION,dundas,Station,YU
56,SHERBOURNE STATION,sherbourne,Station,BD
57,BLOOR DANFORTH SUBWAY,bloor,Misc,
58,KING STATION,king,Station,YU
59,GREENWOOD YARD,greenwood,Misc,BD
60,BATHURST STATION,bathurst,Station,BD
61,LAWRENCE WEST STATION,lawrence west,Station,YU
62,DONLANDS STATION,donlands,Station,BD
63,BAYVIEW STATION,bayview,Station,SHP
64,DON MILLS STATION,don mills,Station,SHP
65,QUEEN'S PARK STATION,queens park,Station,YU
66,SPADINA YUS STATION,spadina,Station,
67,SUMMERHILL STATION,summerhill,Station,YU
68,ROYAL YORK STATION,royal york,Station,BD
69,MAIN STREET STATION,main street,Station,BD
70,OSSINGTON STATION,ossington,Station,BD
71,CASTLE FRANK STATION,castle frank,Station,BD
72,ST GEORGE BD STATION,st george,Station,
73,CHRISTIE STATION,christie,Station,BD
74,SCARB CTR STATION,scarborough town centre,Station,SRT
75,WILSON HOSTLER,wilson,Misc,YU
76,WOODBINE STATION,woodbine,Station,BD
77,ST CLAIR STATION,st clair,Station,YU
78,SPADINA BD STATION,spadina,Station,
79,MCCOWAN STATION TO KEN,mccowan,Station,SRT
80,WILSON YARD,wilson,Misc,YU
81,GREENWOOD PORTAL,greenwood,Misc,BD
82,DAVISVILLE YARD,davisville,Misc,YU
83,GREENWOOD WYE,greenwood,Misc,BD
84,TORONTO TRANSIT COMMIS,,Misc,
85,BESSARION STATION,bessarion,Station,SHP
86,MCBRIEN BUILDING,,Misc,
87,RONCEVALLES DIVISION,,Misc,
88,MCCOWAN YARD,mccowan,Misc,SRT
89,GREENWOOD CARHOUSE,greenwood,Misc,BD
90,DAVISVILLE CARHOUSE,davisville,Misc,YU
91,DANFORTH DIVISION,,Misc,
92,KEELE YARD,keele,Misc,BD
93,GREENWOOD SHOP,greenwood,Misc,BD
94,TRANSIT CONTROL CENTRE,,Misc,
95,SHEPPARD LINE,sheppard,Misc,
96,CHESTER TO BROADVIEW,chester,Misc,BD
97,KENNEDY STATION TO KIP,kennedy,Station,SRT
98,RUSSELL HILL EMERGENCY,,Misc,
99,FINCH TO DOWNSVIEW,finch,Misc,YU
100,EGLINTON TO LAWRENCE S,eglinton,Misc,YU
101,YUS/BD/SHEPPARD SUBWAY,sheppard,Misc,
102,EGLINTON WEST TO BLOOR,eglinton,Misc,YU
103,FENMAR AND WESTON,,Misc,
104,DUPLEX AVENUE,dupont,Misc,YU
105,SYSTEM WIDE,,Misc,
106,GUNN BUILDING,,Misc,
107,BLOOR TO KING STATIONS,king,Station,YU
108,YUS/BD/SRT,,Misc,
109,ST GEORGE TO LAWRENCE,st george,Misc,
110,CHESTER TO CASTLEFRANK,chester,Misc,BD
111,LYTTON EMERGENCY EXIT,,Misc,
112,ASQUITH SUBSTATION,,Station,
113,DUNCAN SHOP,dundas,Misc,YU
114,BLOOR TO YORK MILLS,bloor,Misc,
115,PAPE TO ST GEORGE,pape,Misc,BD
116,BLOOR TO DAVISVILLE,bloor,Misc,
117,INGLIS BUILDING,,Misc,
118,FINCH TO LAWRENCE STAT,finch,Misc,YU
119,(APPROACHING),,Misc,
120,DAVENPORT BUILDING,davisville,Misc,YU
121,VARIOUS,,Misc,
122,CLANTON PARK EMERGENCY,,Misc,
123,PRINCE EDWARD VIADUCT,,Misc,
124,MOORE GATE,,Misc,
125,PLANT OPS BLDG,,Misc,
126,EGLINTON TO FINCH,eglinton,Misc,YU
127,BLOOR YONGE LINES,bloor,Misc,
128,KIPLING STATION (ENTER,kipling,Station,BD
129,UNION STATION (DOWNSVI,union,Station,YU
130,JANE STATION (APPROACH,jane,Station,BD
131,DOWNSVIEW STATION,downsview park,Station,YU
132,WOODBINE STATION (LEAV,woodbine,Station,BD
133,KENNEDY BD STATION (AP,kennedy,Station,SRT
134,YONGE-UNIVERSITY AND B,,Misc,
135,OLD MILL STATION (EXIT,old mill,Station,BD
136,YONGE-UNIVERSITY LINE,,Misc,
137,OLD MILL STATION (APPR,old mill,Station,BD
138,ST GEORGE STATION,st george,Station,
139,DUPONT STATION (APPROA,dupont,Station,YU
140,YORK MILLS STATION (AP,york mills,Station,YU
141,SHEPPARD SUBWAY LINE,sheppard,Misc,
142,DUNDAS STATION E/S 1,dundas,Station,YU
143,ISLINGTON STATION (APP,islington,Station,BD
144,KENNEDY STATION (PALTF,kennedy,Station,SRT
145,HIGH PARK STATION (ENT,high park,Station,BD
146,YONGE UNIVERSITY SUBWA,,Misc,
147,WILSON STATION (APPROA,wilson,Station,YU
148,ROYAL YORK STATION (AP,royal york,Station,BD
149,KENNEDY,kennedy,Misc,SRT
150,MCCOWAN STATION (APPRO,mccowan,Station,SRT
151,KENNEDY SRT STATION (A,kennedy,Station,SRT
152,DUPONT STATION (LEAVIN,dupont,Station,YU
153,UNION STATION (ST ANDR,union,Station,YU
154,ST GEORGE BD STATION -,st george,Station,
155,WELLESLEY STATION (APP,wellesley,Station,YU
156,WOODBINE STATION (APPR,woodbine,Station,BD
157,KIPLING STATION (LEAVI,kipling,Station,BD
158,DOWNSVIEW STATION PLAT,downsview park,Station,YU
159,ROYAL YORK STATION (LE,royal york,Station,BD
160,ST CLAIR STATION (APPR,st clair,Station,YU
161,DAVISVILLE STATION - L,davisville,Station,YU
162,YONGE - UNIVERSITY SUB,,Misc,
163,YORK MILLS STATION (LE,york mills,Station,YU
164,DUNDAS STATION - EAST,dundas,Station,YU
165,KENNEDY BD STATION PLA,kennedy,Station,SRT
166,UNION STATION (TO ST A,union,Station,YU
167,WARDEN STATION (LEAVIN,warden,Station,BD
168,KEELE STATION (APPROAC,keele,Station,BD
169,YONGE UNIVESITY AND BL,,Misc,
170,DONLANDS TO KIPLING ST,donlands,Misc,BD
171,KIPLING STATION (APPRO,kipling,Station,BD
172,SCARBOROUGH RAPID TRAN,scarborough town centre,Misc,SRT
173,SHEPPARD STATION (ENTE,sheppard,Station,
174,GLENCAIRN STATION (APP,glencairn,Station,YU
175,KEELE STATION (EXITING,keele,Station,BD
176,OSGOODE,osgoode,Misc,YU
177,ROSEDALE STATION (APP,rosedale,Station,YU
178,QUEEN STATION - EAST S,queen,Station,YU
179,KIPLING STATION (PLATF,kipling,Station,BD
180,COXWELL STATION (ENTER,coxwell,Station,BD
181,ST CLAIR WEST CENTRE T,st clair west,Misc,YU
182,CHESTER STATION (ENTER,chester,Station,BD
183,DUNDAS STATION - W/S,dundas,Station,YU
184,KENNEDY SRT STATION [A,kennedy,Station,SRT
185,FINCH STATION BOOTH 2,finch,Station,YU
186,YONGE-UNIVERSITY/BLOOR,,Misc,
187,YONGE-UNIVERSITY SUBWA,,Misc,
188,ROYAL YORK STATION (EN,royal york,Station,BD
189,YONGE STATION,,Station,
190,CHRISTIE STATION (APPR,christie,Station,BD
191,KENNEDY STATION,kennedy,Station,SRT
192,KENNEDY BD STATION (EN,kennedy,Station,SRT
193,DUNDAS WEST STATION (A,dundas west,Station,BD
